INST CODE,INSTITUTE NAME,PLACE,DIST,COED,TYPE,YEAR OF ESTB,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS BOYS,EWS GIRLS,TUITION FEE,AFFILIATED
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,CSE,COMPUTER SCIENCE AND ENGINEERING,20966,21740,34359,54974,26726,30793,20966,21740,24352,24352,34186,55055,44296,54415,37125,41173,39935,39935,60000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",35426,38389,78257,83058,48920,85042,35426,38389,46745,62913,85240,85240,103904,120035,96716,125149,47072,53839,60000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,53419,59451,108609,108609,80744,88363,53419,83832,72017,72017,101414,101414,120190,123215,87775,124052,61401,61465,60000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,75671,83222,93677,108123,109952,114357,109513,109513,83519,85805,101414,101414,125839,125839,119610,124377,109617,109617,60000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,MEC,MECHANICAL ENGINEERING,75524,93070,75524,93070,75524,93070,75524,93070,116292,121081,109829,109829,125695,125695,124480,124480,112658,112658,60000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CIV,CIVIL ENGINEERING,97735,108732,97735,108732,106115,110884,97735,108732,97735,108732,97735,108732,120769,126052,120005,120151,111627,111627,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),31109,31109,55395,55395,45014,48243,99224,99224,33916,41922,51462,51462,82321,97220,70102,102993,38098,38098,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSE,COMPUTER SCIENCE AND ENGINEERING,20326,20326,40745,42711,31416,31485,20326,33033,26220,28106,34164,76023,58671,58671,36153,63467,25299,27101,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",37677,37677,70199,101743,44245,46739,71806,71806,42871,42871,75384,87008,102662,112481,77640,108780,38647,38825,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,CSO,COMPUTER SCIENCE AND ENGINEERING (IOT),41122,41122,109728,114848,57408,60543,51835,51835,50671,57127,79018,79018,119153,121606,82512,97725,44454,44454,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,46583,53196,103422,118180,69446,72140,46583,74514,61693,72194,106438,110612,124263,124380,81045,81628,54426,54426,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,53680,67014,117087,117087,96272,96272,53680,67014,84398,84398,53680,108664,125883,125883,118996,118996,59972,105077,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,INF,INFORMATION TECHNOLOGY,30636,33246,63665,93083,42216,46447,79408,79408,38786,41649,30636,33246,103607,115946,57203,79625,36981,36981,110000,JNTUH
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,COED,PVT,2007,MEC,MECHANICAL ENGINEERING,99383,111188,99383,111188,112862,112862,99383,111188,115028,115028,99383,111188,124950,124950,120395,120395,107258,111188,110000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,CIV,CIVIL ENGINEERING,96710,113173,96710,113173,113253,113253,96710,113173,96710,113173,96710,113173,122102,122102,96710,126050,96710,113173,75000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,CSE,COMPUTER SCIENCE AND ENGINEERING,43958,44623,94399,94399,50838,56662,60214,60214,60247,60247,76969,76969,101931,101931,72400,72903,60952,60952,75000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,86612,86612,107715,109225,110005,110005,86612,86612,107333,113830,86612,117140,125241,125819,120004,121031,86612,101541,75000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,108000,108000,117547,117547,108000,113001,108000,108000,108000,108000,108000,108000,111171,122555,122555,122555,108000,108000,75000,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,MEC,MECHANICAL ENGINEERING,116054,116123,116054,116123,116054,116123,116054,116123,116054,116123,116054,116123,116054,116123,116054,116123,116054,116123,75000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,CIV,CIVIL ENGINEERING,125725,125725,125725,125725,125725,125725,125725,125725,125725,125725,125725,125725,125725,125725,125725,125725,125725,125725,65000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,CSE,COMPUTER SCIENCE AND ENGINEERING,53376,103784,77209,103784,81910,103784,77439,103784,87336,103784,94223,103784,110275,110275,67990,103784,98788,106450,65000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,72778,72778,111766,111766,72778,124907,72778,72778,106699,106699,104658,104658,122055,122055,75574,117646,72778,72778,65000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,45103,106699,124933,124933,125190,125190,45103,106699,45103,111766,110560,110560,123994,124910,122844,122844,45103,106699,65000,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,MIN,MINING ENGINEERING,77201,77201,77201,77201,77201,77201,77201,77201,77201,77201,77201,77201,77201,77201,77201,77201,77201,77201,65000,JNTUH
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,CIV,CIVIL ENGINEERING,68290,93230,68290,93230,120358,120358,68290,93230,68290,93230,68290,93230,119260,119260,124924,124924,68290,93230,90000,JNTUH
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,CSE,COMPUTER SCIENCE AND ENGINEERING,29720,29720,79091,88409,42793,48232,53655,53655,52052,52052,57164,76607,80746,80746,72791,79801,47157,47157,90000,JNTUH
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,58177,63146,103331,103851,89874,94780,90799,90799,95068,99840,103594,103594,126042,126042,118075,121330,80264,80264,90000,JNTUH
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,35840,110535,35840,110535,115452,115452,35840,110535,81276,110535,35840,110535,125932,125932,122525,122525,35840,110535,90000,JNTUH
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,MEC,MECHANICAL ENGINEERING,113651,113651,113651,113651,113651,113651,113651,113651,113651,113651,113651,113651,113651,113651,123030,123030,113651,113651,90000,JNTUH
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,CIV,CIVIL ENGINEERING,108771,108771,108771,108771,108771,108771,108771,108771,108771,108771,108771,108771,125379,125379,125379,125379,108771,108771,67000,JNTUH
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,CSE,COMPUTER SCIENCE AND ENGINEERING,45546,45546,98538,100158,59418,78982,66442,66442,65563,65563,90158,108998,112316,112316,66414,112722,56312,64890,67000,JNTUH
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",95056,95056,98839,107424,95056,105665,97930,112891,99847,116246,95056,116975,126062,126062,95056,95056,95056,95056,67000,JNTUH
